card_key,name,archetype,archetype_tag,top10_core
Air Balloon · BLK 079,Air Balloon,Eelektrik,ptcg::archetype::eelektrik,True
Battle Cage · PFL 085,Battle Cage,Eelektrik,ptcg::archetype::eelektrik,False
Boss's Orders · PAL 172,Boss's Orders,Eelektrik,ptcg::archetype::eelektrik,True
Buddy-Buddy Poffin · TEF 144,Buddy-Buddy Poffin,Eelektrik,ptcg::archetype::eelektrik,True
Crispin · SCR 133,Crispin,Eelektrik,ptcg::archetype::eelektrik,True
Dragonair · ASC 151,Dragonair,Eelektrik,ptcg::archetype::eelektrik,False
Dratini · ASC 150,Dratini,Eelektrik,ptcg::archetype::eelektrik,False
Eelektrik · ASC 060,Eelektrik,Eelektrik,ptcg::archetype::eelektrik,False
Judge · FLI 108,Judge,Eelektrik,ptcg::archetype::eelektrik,False
Lightning Energy · BS 100,Lightning Energy,Eelektrik,ptcg::archetype::eelektrik,True
Lillie's Determination · MEG 119,Lillie's Determination,Eelektrik,ptcg::archetype::eelektrik,True
Mega Dragonite ex · ASC 152,Mega Dragonite ex,Eelektrik,ptcg::archetype::eelektrik,False
Mega Starmie ex · POR 021,Mega Starmie ex,Eelektrik,ptcg::archetype::eelektrik,False
N's Zoroark ex · ASC 137,N's Zoroark ex,Eelektrik,ptcg::archetype::eelektrik,True
N's Zorua · SVP 189,N's Zorua,Eelektrik,ptcg::archetype::eelektrik,True
Night Stretcher · SFA 061,Night Stretcher,Eelektrik,ptcg::archetype::eelektrik,True
Poké Pad · ASC 198,Poké Pad,Eelektrik,ptcg::archetype::eelektrik,True
Special Red Card · CRI 082,Special Red Card,Eelektrik,ptcg::archetype::eelektrik,True
Staryu · POR 020,Staryu,Eelektrik,ptcg::archetype::eelektrik,False
Team Rocket's Watchtower · DRI 180,Team Rocket's Watchtower,Eelektrik,ptcg::archetype::eelektrik,True
Tynamo · BLK 030,Tynamo,Eelektrik,ptcg::archetype::eelektrik,False
Ultra Ball · BRS 150,Ultra Ball,Eelektrik,ptcg::archetype::eelektrik,True
Unfair Stamp · TWM 165,Unfair Stamp,Eelektrik,ptcg::archetype::eelektrik,True
Wally's Compassion · MEG 132,Wally's Compassion,Eelektrik,ptcg::archetype::eelektrik,False
Water Energy · BS 102,Water Energy,Eelektrik,ptcg::archetype::eelektrik,True
Wellspring Mask Ogerpon ex · TWM 064,Wellspring Mask Ogerpon ex,Eelektrik,ptcg::archetype::eelektrik,True
Battle Cage · PFL 085,Battle Cage,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,False
Black Belt's Training · SVP 219,Black Belt's Training,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Boss's Orders · PAL 172,Boss's Orders,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Brave Bangle · WHT 080,Brave Bangle,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Buddy-Buddy Poffin · TEF 144,Buddy-Buddy Poffin,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Drakloak · ASC 159,Drakloak,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Dreepy · TWM 128,Dreepy,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Ethan's Adventure · DRI 165,Ethan's Adventure,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,False
Ethan's Cyndaquil · DRI 032,Ethan's Cyndaquil,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,False
Ethan's Quilava · DRI 033,Ethan's Quilava,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,False
Ethan's Typhlosion · DRI 034,Ethan's Typhlosion,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,False
Fezandipiti ex · SFA 038,Fezandipiti ex,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Fire Energy · BS 98,Fire Energy,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Gravity Mountain · SSP 177,Gravity Mountain,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Judge · FLI 108,Judge,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,False
Kieran · TWM 154,Kieran,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,False
Lana's Aid · TWM 155,Lana's Aid,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Lillie's Determination · MEG 119,Lillie's Determination,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Night Stretcher · SFA 061,Night Stretcher,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Poké Pad · ASC 198,Poké Pad,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Pokémon Catcher · SVI 187,Pokémon Catcher,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,False
Rare Candy · SSH 180,Rare Candy,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Redeemable Ticket · JTG 156,Redeemable Ticket,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,False
Secret Box · TWM 163,Secret Box,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Shaymin · DRI 010,Shaymin,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Switch · BLW 104,Switch,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Tool Scrapper · RCL 168,Tool Scrapper,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,False
Ultra Ball · BRS 150,Ultra Ball,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,True
Victini · SSP 021,Victini,Ethan's Typhlosion,ptcg::archetype::ethan_s_typhlosion,False
Air Balloon · BLK 079,Air Balloon,Festival Lead,ptcg::archetype::festival_lead,True
Applin · TWM 017,Applin,Festival Lead,ptcg::archetype::festival_lead,True
Applin · TWM 126,Applin,Festival Lead,ptcg::archetype::festival_lead,False
Boss's Orders · PAL 172,Boss's Orders,Festival Lead,ptcg::archetype::festival_lead,True
Brave Bangle · WHT 080,Brave Bangle,Festival Lead,ptcg::archetype::festival_lead,True
Buddy-Buddy Poffin · TEF 144,Buddy-Buddy Poffin,Festival Lead,ptcg::archetype::festival_lead,True
Bug Catching Set · TWM 143,Bug Catching Set,Festival Lead,ptcg::archetype::festival_lead,True
Dawn · PFL 087,Dawn,Festival Lead,ptcg::archetype::festival_lead,True
Dipplin · TWM 018,Dipplin,Festival Lead,ptcg::archetype::festival_lead,True
Drayton · SSP 174,Drayton,Festival Lead,ptcg::archetype::festival_lead,False
Festival Grounds · TWM 149,Festival Grounds,Festival Lead,ptcg::archetype::festival_lead,False
Goldeen · TWM 044,Goldeen,Festival Lead,ptcg::archetype::festival_lead,False
Grass Energy · BS 99,Grass Energy,Festival Lead,ptcg::archetype::festival_lead,True
Grookey · TWM 014,Grookey,Festival Lead,ptcg::archetype::festival_lead,False
Kieran · TWM 154,Kieran,Festival Lead,ptcg::archetype::festival_lead,False
Lana's Aid · TWM 155,Lana's Aid,Festival Lead,ptcg::archetype::festival_lead,True
Lillie's Determination · MEG 119,Lillie's Determination,Festival Lead,ptcg::archetype::festival_lead,True
Lilligant · JTG 007,Lilligant,Festival Lead,ptcg::archetype::festival_lead,False
Night Stretcher · SFA 061,Night Stretcher,Festival Lead,ptcg::archetype::festival_lead,True
Petilil · BLK 006,Petilil,Festival Lead,ptcg::archetype::festival_lead,False
Poké Pad · ASC 198,Poké Pad,Festival Lead,ptcg::archetype::festival_lead,True
Psyduck · ASC 039,Psyduck,Festival Lead,ptcg::archetype::festival_lead,True
Rillaboom · TWM 016,Rillaboom,Festival Lead,ptcg::archetype::festival_lead,False
Seaking · PRE 021,Seaking,Festival Lead,ptcg::archetype::festival_lead,False
Secret Box · TWM 163,Secret Box,Festival Lead,ptcg::archetype::festival_lead,True
Shaymin · DRI 010,Shaymin,Festival Lead,ptcg::archetype::festival_lead,True
Thwackey · SVP 115,Thwackey,Festival Lead,ptcg::archetype::festival_lead,False
Air Balloon · BLK 079,Air Balloon,Flareon,ptcg::archetype::flareon,True
Area Zero Underdepths · SCR 131,Area Zero Underdepths,Flareon,ptcg::archetype::flareon,True
Black Belt's Training · SVP 219,Black Belt's Training,Flareon,ptcg::archetype::flareon,True
Boss's Orders · PAL 172,Boss's Orders,Flareon,ptcg::archetype::flareon,True
Briar · SCR 132,Briar,Flareon,ptcg::archetype::flareon,True
Buddy-Buddy Poffin · TEF 144,Buddy-Buddy Poffin,Flareon,ptcg::archetype::flareon,True
Crispin · SCR 133,Crispin,Flareon,ptcg::archetype::flareon,True
Cyrano · SSP 170,Cyrano,Flareon,ptcg::archetype::flareon,True
Eevee ex · SVP 174,Eevee ex,Flareon,ptcg::archetype::flareon,False
Eevee · SVP 173,Eevee,Flareon,ptcg::archetype::flareon,False
Energy Switch · SVI 173,Energy Switch,Flareon,ptcg::archetype::flareon,True
Fan Rotom · SCR 118,Fan Rotom,Flareon,ptcg::archetype::flareon,False
Fezandipiti ex · SFA 038,Fezandipiti ex,Flareon,ptcg::archetype::flareon,True
Fire Energy · BS 98,Fire Energy,Flareon,ptcg::archetype::flareon,True
Flareon ex · PRE 014,Flareon ex,Flareon,ptcg::archetype::flareon,False
Glass Trumpet · SCR 135,Glass Trumpet,Flareon,ptcg::archetype::flareon,True
Grass Energy · BS 99,Grass Energy,Flareon,ptcg::archetype::flareon,True
Gravity Mountain · SSP 177,Gravity Mountain,Flareon,ptcg::archetype::flareon,True
Hilda · WHT 084,Hilda,Flareon,ptcg::archetype::flareon,True
Hoothoot · SCR 114,Hoothoot,Flareon,ptcg::archetype::flareon,True
Kieran · TWM 154,Kieran,Flareon,ptcg::archetype::flareon,False
Latias ex · SSP 076,Latias ex,Flareon,ptcg::archetype::flareon,True
Leafeon ex · PRE 006,Leafeon ex,Flareon,ptcg::archetype::flareon,False
Lightning Energy · BS 100,Lightning Energy,Flareon,ptcg::archetype::flareon,True
Lillie's Clefairy ex · SVP 195,Lillie's Clefairy ex,Flareon,ptcg::archetype::flareon,True
Night Stretcher · SFA 061,Night Stretcher,Flareon,ptcg::archetype::flareon,True
Noctowl · SVP 141,Noctowl,Flareon,ptcg::archetype::flareon,True
Poké Pad · ASC 198,Poké Pad,Flareon,ptcg::archetype::flareon,True
Psychic Energy · BS 101,Psychic Energy,Flareon,ptcg::archetype::flareon,True
Sparkling Crystal · SCR 142,Sparkling Crystal,Flareon,ptcg::archetype::flareon,False
Special Red Card · CRI 082,Special Red Card,Flareon,ptcg::archetype::flareon,True
Sylveon ex · SSP 086,Sylveon ex,Flareon,ptcg::archetype::flareon,False
Terapagos ex · SVP 165,Terapagos ex,Flareon,ptcg::archetype::flareon,False
Ultra Ball · BRS 150,Ultra Ball,Flareon,ptcg::archetype::flareon,True
Water Energy · BS 102,Water Energy,Flareon,ptcg::archetype::flareon,True
Air Balloon · BLK 079,Air Balloon,Froslass Munkidori,ptcg::archetype::froslass_munkidori,True
Boss's Orders · PAL 172,Boss's Orders,Froslass Munkidori,ptcg::archetype::froslass_munkidori,True
Buddy-Buddy Poffin · TEF 144,Buddy-Buddy Poffin,Froslass Munkidori,ptcg::archetype::froslass_munkidori,True
Darkness Energy · DP 129,Darkness Energy,Froslass Munkidori,ptcg::archetype::froslass_munkidori,True
Froslass · SVP 117,Froslass,Froslass Munkidori,ptcg::archetype::froslass_munkidori,False
Frosmoth · MEG 043,Frosmoth,Froslass Munkidori,ptcg::archetype::froslass_munkidori,False
Glalie · TWM 052,Glalie,Froslass Munkidori,ptcg::archetype::froslass_munkidori,False
Hilda · WHT 084,Hilda,Froslass Munkidori,ptcg::archetype::froslass_munkidori,True
Larry's Skill · PRE 115,Larry's Skill,Froslass Munkidori,ptcg::archetype::froslass_munkidori,False
Lillie's Determination · MEG 119,Lillie's Determination,Froslass Munkidori,ptcg::archetype::froslass_munkidori,True
Maractus · JTG 008,Maractus,Froslass Munkidori,ptcg::archetype::froslass_munkidori,False
Mega Froslass ex · ASC 047,Mega Froslass ex,Froslass Munkidori,ptcg::archetype::froslass_munkidori,False
Munkidori · TWM 095,Munkidori,Froslass Munkidori,ptcg::archetype::froslass_munkidori,True
Neutralization Zone · SFA 060,Neutralization Zone,Froslass Munkidori,ptcg::archetype::froslass_munkidori,False
Night Stretcher · SFA 061,Night Stretcher,Froslass Munkidori,ptcg::archetype::froslass_munkidori,True
Nighttime Mine · ASC 197,Nighttime Mine,Froslass Munkidori,ptcg::archetype::froslass_munkidori,True
Poké Pad · ASC 198,Poké Pad,Froslass Munkidori,ptcg::archetype::froslass_munkidori,True
Pokégear 3.0 · UNB 182,Pokégear 3.0,Froslass Munkidori,ptcg::archetype::froslass_munkidori,False
Repel · MEG 126,Repel,Froslass Munkidori,ptcg::archetype::froslass_munkidori,False
Snom · TEF 045,Snom,Froslass Munkidori,ptcg::archetype::froslass_munkidori,False
Snorunt · ASC 046,Snorunt,Froslass Munkidori,ptcg::archetype::froslass_munkidori,False
Water Energy · BS 102,Water Energy,Froslass Munkidori,ptcg::archetype::froslass_munkidori,True
Yveltal · MEG 088,Yveltal,Froslass Munkidori,ptcg::archetype::froslass_munkidori,True
Boss's Orders · PAL 172,Boss's Orders,Greninja,ptcg::archetype::greninja,True
Buddy-Buddy Poffin · TEF 144,Buddy-Buddy Poffin,Greninja,ptcg::archetype::greninja,True
Budew · PRE 004,Budew,Greninja,ptcg::archetype::greninja,True
Colress's Tenacity · SFA 057,Colress's Tenacity,Greninja,ptcg::archetype::greninja,False
Dusclops · SFA 019,Dusclops,Greninja,ptcg::archetype::greninja,True
Dusknoir · SFA 020,Dusknoir,Greninja,ptcg::archetype::greninja,True
Duskull · SFA 018,Duskull,Greninja,ptcg::archetype::greninja,True
Fezandipiti ex · SFA 038,Fezandipiti ex,Greninja,ptcg::archetype::greninja,True
Froakie · CRI 020,Froakie,Greninja,ptcg::archetype::greninja,True
Frogadier · CRI 021,Frogadier,Greninja,ptcg::archetype::greninja,True
Frogadier · TWM 057,Frogadier,Greninja,ptcg::archetype::greninja,False
Grand Tree · SCR 136,Grand Tree,Greninja,ptcg::archetype::greninja,False
Greninja ex · TWM 106,Greninja ex,Greninja,ptcg::archetype::greninja,True
Hilda · WHT 084,Hilda,Greninja,ptcg::archetype::greninja,True
Ignition Energy · WHT 086,Ignition Energy,Greninja,ptcg::archetype::greninja,True
Jamming Tower · TWM 153,Jamming Tower,Greninja,ptcg::archetype::greninja,True
Judge · FLI 108,Judge,Greninja,ptcg::archetype::greninja,False
Latias ex · SSP 076,Latias ex,Greninja,ptcg::archetype::greninja,True
Lillie's Determination · MEG 119,Lillie's Determination,Greninja,ptcg::archetype::greninja,True
Mega Froslass ex · ASC 047,Mega Froslass ex,Greninja,ptcg::archetype::greninja,False
Mega Starmie ex · POR 021,Mega Starmie ex,Greninja,ptcg::archetype::greninja,False
Meowth ex · POR 062,Meowth ex,Greninja,ptcg::archetype::greninja,True
Night Stretcher · SFA 061,Night Stretcher,Greninja,ptcg::archetype::greninja,True
Poké Pad · ASC 198,Poké Pad,Greninja,ptcg::archetype::greninja,True
Rare Candy · SSH 180,Rare Candy,Greninja,ptcg::archetype::greninja,True
Shaymin · DRI 010,Shaymin,Greninja,ptcg::archetype::greninja,True
Snorunt · ASC 046,Snorunt,Greninja,ptcg::archetype::greninja,False
Special Red Card · CRI 082,Special Red Card,Greninja,ptcg::archetype::greninja,True
Staryu · POR 020,Staryu,Greninja,ptcg::archetype::greninja,False
Switch · BLW 104,Switch,Greninja,ptcg::archetype::greninja,True
Ultra Ball · BRS 150,Ultra Ball,Greninja,ptcg::archetype::greninja,True
Wally's Compassion · MEG 132,Wally's Compassion,Greninja,ptcg::archetype::greninja,False
Water Energy · BS 102,Water Energy,Greninja,ptcg::archetype::greninja,True
Air Balloon · BLK 079,Air Balloon,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,True
Boss's Orders · PAL 172,Boss's Orders,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,True
Hassel · TWM 151,Hassel,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,False
Hop's Bag · JTG 147,Hop's Bag,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,False
Hop's Choice Band · JTG 148,Hop's Choice Band,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,False
Hop's Cramorant · JTG 138,Hop's Cramorant,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,False
Hop's Dubwool · JTG 136,Hop's Dubwool,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,False
Hop's Phantump · ASC 095,Hop's Phantump,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,False
Hop's Snorlax · SVP 184,Hop's Snorlax,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,False
Hop's Trevenant · ASC 096,Hop's Trevenant,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,False
Hop's Wooloo · JTG 135,Hop's Wooloo,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,False
Lillie's Clefairy ex · SVP 195,Lillie's Clefairy ex,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,True
Lillie's Determination · MEG 119,Lillie's Determination,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,True
Mist Energy · TEF 161,Mist Energy,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,False
Night Stretcher · SFA 061,Night Stretcher,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,True
Poké Pad · ASC 198,Poké Pad,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,True
Pokégear 3.0 · UNB 182,Pokégear 3.0,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,False
Postwick · JTG 154,Postwick,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,False
Secret Box · TWM 163,Secret Box,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,True
Shaymin · DRI 010,Shaymin,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,True
Switch · BLW 104,Switch,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,True
Team Rocket's Petrel · DRI 176,Team Rocket's Petrel,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,True
Telepathic Psychic Energy · POR 088,Telepathic Psychic Energy,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,True
Ultra Ball · BRS 150,Ultra Ball,Hop's Trevenant,ptcg::archetype::hop_s_trevenant,True
Air Balloon · BLK 079,Air Balloon,Hydreigon,ptcg::archetype::hydreigon,True
Area Zero Underdepths · SCR 131,Area Zero Underdepths,Hydreigon,ptcg::archetype::hydreigon,True
Battle Cage · PFL 085,Battle Cage,Hydreigon,ptcg::archetype::hydreigon,False
Boss's Orders · PAL 172,Boss's Orders,Hydreigon,ptcg::archetype::hydreigon,True
Buddy-Buddy Poffin · TEF 144,Buddy-Buddy Poffin,Hydreigon,ptcg::archetype::hydreigon,True
Crispin · SCR 133,Crispin,Hydreigon,ptcg::archetype::hydreigon,True
Darkness Energy · DP 129,Darkness Energy,Hydreigon,ptcg::archetype::hydreigon,True
Dawn · PFL 087,Dawn,Hydreigon,ptcg::archetype::hydreigon,True
Deino · SSP 117,Deino,Hydreigon,ptcg::archetype::hydreigon,False
Energy Search · SVI 172,Energy Search,Hydreigon,ptcg::archetype::hydreigon,False
Energy Switch · SVI 173,Energy Switch,Hydreigon,ptcg::archetype::hydreigon,True
Fan Rotom · SCR 118,Fan Rotom,Hydreigon,ptcg::archetype::hydreigon,False
Fezandipiti ex · SFA 038,Fezandipiti ex,Hydreigon,ptcg::archetype::hydreigon,True
Glass Trumpet · SCR 135,Glass Trumpet,Hydreigon,ptcg::archetype::hydreigon,True
Hilda · WHT 084,Hilda,Hydreigon,ptcg::archetype::hydreigon,True
Hoothoot · SCR 114,Hoothoot,Hydreigon,ptcg::archetype::hydreigon,True
Hydreigon ex · SSP 119,Hydreigon ex,Hydreigon,ptcg::archetype::hydreigon,False
Metal Energy · DP 130,Metal Energy,Hydreigon,ptcg::archetype::hydreigon,False
Neo Upper Energy · TEF 162,Neo Upper Energy,Hydreigon,ptcg::archetype::hydreigon,True
Noctowl · SVP 141,Noctowl,Hydreigon,ptcg::archetype::hydreigon,True
Poké Pad · ASC 198,Poké Pad,Hydreigon,ptcg::archetype::hydreigon,True
Psychic Energy · BS 101,Psychic Energy,Hydreigon,ptcg::archetype::hydreigon,True
Rare Candy · SSH 180,Rare Candy,Hydreigon,ptcg::archetype::hydreigon,True
Tera Orb · SSP 189,Tera Orb,Hydreigon,ptcg::archetype::hydreigon,False
Terapagos ex · SVP 165,Terapagos ex,Hydreigon,ptcg::archetype::hydreigon,False
Ultra Ball · BRS 150,Ultra Ball,Hydreigon,ptcg::archetype::hydreigon,True
Zweilous · SSP 118,Zweilous,Hydreigon,ptcg::archetype::hydreigon,False
AZ's Tranquility · CRI 076,AZ's Tranquility,Joltik Box,ptcg::archetype::joltik_box,True
Area Zero Underdepths · SCR 131,Area Zero Underdepths,Joltik Box,ptcg::archetype::joltik_box,True
Bloodmoon Ursaluna ex · SVP 177,Bloodmoon Ursaluna ex,Joltik Box,ptcg::archetype::joltik_box,False
Boss's Orders · PAL 172,Boss's Orders,Joltik Box,ptcg::archetype::joltik_box,True
Brock's Scouting · JTG 146,Brock's Scouting,Joltik Box,ptcg::archetype::joltik_box,True
Crispin · SCR 133,Crispin,Joltik Box,ptcg::archetype::joltik_box,True
Energy Search · SVI 172,Energy Search,Joltik Box,ptcg::archetype::joltik_box,False
Fezandipiti ex · SFA 038,Fezandipiti ex,Joltik Box,ptcg::archetype::joltik_box,True
Galvantula · SFA 002,Galvantula,Joltik Box,ptcg::archetype::joltik_box,False
Grass Energy · BS 99,Grass Energy,Joltik Box,ptcg::archetype::joltik_box,True
Gravity Mountain · SSP 177,Gravity Mountain,Joltik Box,ptcg::archetype::joltik_box,True
Iron Leaves ex · SVP 128,Iron Leaves ex,Joltik Box,ptcg::archetype::joltik_box,True
Joltik · SCR 050,Joltik,Joltik Box,ptcg::archetype::joltik_box,False
Latias ex · SSP 076,Latias ex,Joltik Box,ptcg::archetype::joltik_box,True
Light Ball · ASC 191,Light Ball,Joltik Box,ptcg::archetype::joltik_box,False
Lightning Energy · BS 100,Lightning Energy,Joltik Box,ptcg::archetype::joltik_box,True
Lillie's Clefairy ex · SVP 195,Lillie's Clefairy ex,Joltik Box,ptcg::archetype::joltik_box,True
Meowth ex · POR 062,Meowth ex,Joltik Box,ptcg::archetype::joltik_box,True
Metal Energy · DP 130,Metal Energy,Joltik Box,ptcg::archetype::joltik_box,False
Night Stretcher · SFA 061,Night Stretcher,Joltik Box,ptcg::archetype::joltik_box,True
Pikachu ex · SSP 057,Pikachu ex,Joltik Box,ptcg::archetype::joltik_box,False
Precious Trolley · SSP 185,Precious Trolley,Joltik Box,ptcg::archetype::joltik_box,False
Psychic Energy · BS 101,Psychic Energy,Joltik Box,ptcg::archetype::joltik_box,True
Special Red Card · CRI 082,Special Red Card,Joltik Box,ptcg::archetype::joltik_box,True
Team Rocket's Articuno · DRI 051,Team Rocket's Articuno,Joltik Box,ptcg::archetype::joltik_box,True
Team Rocket's Kangaskhan ex · ASC 162,Team Rocket's Kangaskhan ex,Joltik Box,ptcg::archetype::joltik_box,False
Team Rocket's Petrel · DRI 176,Team Rocket's Petrel,Joltik Box,ptcg::archetype::joltik_box,True
Team Rocket's Transceiver · DRI 178,Team Rocket's Transceiver,Joltik Box,ptcg::archetype::joltik_box,True
Ultra Ball · BRS 150,Ultra Ball,Joltik Box,ptcg::archetype::joltik_box,True
Water Energy · BS 102,Water Energy,Joltik Box,ptcg::archetype::joltik_box,True
Wellspring Mask Ogerpon ex · TWM 064,Wellspring Mask Ogerpon ex,Joltik Box,ptcg::archetype::joltik_box,True
Bloodmoon Ursaluna ex · SVP 177,Bloodmoon Ursaluna ex,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,False
Boss's Orders · PAL 172,Boss's Orders,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Bouffalant · SSP 151,Bouffalant,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,False
Bouffalant · SVP 136,Bouffalant,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,False
Brock's Scouting · JTG 146,Brock's Scouting,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Ciphermaniac's Codebreaking · TEF 145,Ciphermaniac's Codebreaking,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Crispin · SCR 133,Crispin,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Darkness Energy · DP 129,Darkness Energy,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Energy Search · SVI 172,Energy Search,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,False
Handheld Fan · TWM 150,Handheld Fan,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Jumbo Ice Cream · PFL 091,Jumbo Ice Cream,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,False
Latias ex · SSP 076,Latias ex,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Lillie's Clefairy ex · SVP 195,Lillie's Clefairy ex,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Mega Kangaskhan ex · MEP 025,Mega Kangaskhan ex,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Mist Energy · TEF 161,Mist Energy,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,False
Munkidori · TWM 095,Munkidori,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Night Stretcher · SFA 061,Night Stretcher,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Nighttime Mine · ASC 197,Nighttime Mine,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Pokégear 3.0 · UNB 182,Pokégear 3.0,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,False
Precious Trolley · SSP 185,Precious Trolley,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,False
Psychic Energy · BS 101,Psychic Energy,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Psyduck · ASC 039,Psyduck,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Smoochum · SSP 075,Smoochum,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,False
Special Red Card · CRI 082,Special Red Card,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Switch · BLW 104,Switch,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Team Rocket's Articuno · DRI 051,Team Rocket's Articuno,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Team Rocket's Kangaskhan ex · ASC 162,Team Rocket's Kangaskhan ex,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,False
Team Rocket's Petrel · DRI 176,Team Rocket's Petrel,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Team Rocket's Transceiver · DRI 178,Team Rocket's Transceiver,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant,True
Area Zero Underdepths · SCR 131,Area Zero Underdepths,Lillie's Clefairy,ptcg::archetype::lillie_s_clefairy,True
Boss's Orders · PAL 172,Boss's Orders,Lillie's Clefairy,ptcg::archetype::lillie_s_clefairy,True
Chien-Pao · SVP 152,Chien-Pao,Lillie's Clefairy,ptcg::archetype::lillie_s_clefairy,True
